['X'],['Y'],['Percent'],['Total Shots'],['Goals'],Adjustment,Frequency after Adjustment,Rating
97,-14,1,1,1,0.017,0.017,0.07
97,-15,0,0,0,0,0,0.05
97,-16,0,1,0,0.017,0,0.05
97,-17,0,0,0,0,0,0.05
97,-18,0.3333333333,3,1,0.051,0.017,0.07
97,-19,0,0,0,0,0,0.05
97,-20,0,1,0,0.017,0,0.05
97,-21,0,0,0,0,0,0.05
97,-22,0,0,0,0,0,0.05
97,-23,0,0,0,0,0,0.05
97,-24,0,0,0,0,0,0.05
97,-25,0,1,0,0.017,0,0.05
97,-26,0,0,0,0,0,0.05
97,-27,0,0,0,0,0,0.05
97,-28,0,0,0,0,0,0.05
97,-29,0,0,0,0,0,0.05
97,-30,0,0,0,0,0,0.05
97,-31,0,0,0,0,0,0.05
97,-32,0,0,0,0,0,0.05
97,-33,0,0,0,0,0,0.05
97,-34,0,0,0,0,0,0.05
97,-35,0,0,0,0,0,0.05
97,-36,0,0,0,0,0,0.05
97,-37,0,0,0,0,0,0.05
97,-38,0,0,0,0,0,0.05
97,-39,0,0,0,0,0,0.05
97,-40,0,0,0,0,0,0.05
97,42,0,0,0,0,0,0.05
97,41,0,0,0,0,0,0.05
97,40,0,0,0,0,0,0.05
97,-40,0,0,0,0,0,0.05
97,-41,0,0,0,0,0,0.05
97,-42,0,0,0,0,0,0.05
96,40,0,0,0,0,0,0.05
96,39,0,0,0,0,0,0.05
96,38,0,0,0,0,0,0.05
96,37,0,0,0,0,0,0.05
96,36,0,0,0,0,0,0.05
96,35,0,0,0,0,0,0.05
96,34,0,1,0,0.017,0,0.05
96,33,0,0,0,0,0,0.05
96,32,0,0,0,0,0,0.05
96,31,0,2,0,0.034,0,0.05
96,30,0,0,0,0,0,0.05
96,29,0,0,0,0,0,0.05
96,28,0,1,0,0.017,0,0.05
96,27,0,0,0,0,0,0.05
96,26,0,2,0,0.034,0,0.05
96,25,0.5,2,1,0.034,0.017,0.07
96,24,0,1,0,0.017,0,0.05
96,23,0,1,0,0.017,0,0.05
96,22,0,0,0,0,0,0.05
96,21,0,0,0,0,0,0.05
96,20,0,0,0,0,0,0.05
96,19,0,0,0,0,0,0.05
96,18,0,2,0,0.034,0,0.05
96,17,0,0,0,0,0,0.05
96,16,0,0,0,0,0,0.05
96,15,0,1,0,0.017,0,0.05
96,14,0,3,0,0.051,0,0.05
96,13,0,0,0,0,0,0.05
96,12,0,3,0,0.051,0,0.05
96,11,0.25,4,1,0.068,0.017,0.07
96,10,1,1,1,0.017,0.017,0.07
96,9,0,0,0,0,0,0.05
96,8,0,0,0,0,0,0.05
96,7,0,2,0,0.034,0,0.05
96,6,0,1,0,0.017,0,0.05
96,5,0,0,0,0,0,0.05
96,4,0,0,0,0,0,0.05
96,3,0,0,0,0,0,0.05
96,2,0,0,0,0,0,0.05
96,1,0,0,0,0,0,0.05
96,0,0,2,0,0.034,0,0.05
96,-1,1,1,1,0.017,0.017,0.07
96,-2,0,0,0,0,0,0.05
96,-3,0,0,0,0,0,0.05
96,-4,0.5,2,1,0.034,0.017,0.07
96,-5,0,2,0,0.034,0,0.05
96,-6,0,1,0,0.017,0,0.05
96,-7,0,0,0,0,0,0.05
96,-8,0,2,0,0.034,0,0.05
96,-9,0.3333333333,3,1,0.051,0.017,0.07
96,-10,0,2,0,0.034,0,0.05
96,-11,0,4,0,0.068,0,0.05
96,-12,0,3,0,0.051,0,0.05
96,-13,0,1,0,0.017,0,0.05
96,-14,0,2,0,0.034,0,0.05
96,-15,0,2,0,0.034,0,0.05
96,-16,0,1,0,0.017,0,0.05
96,-17,1,1,1,0.017,0.017,0.07
96,-18,0,1,0,0.017,0,0.05
96,-19,0,0,0,0,0,0.05
96,-20,0,1,0,0.017,0,0.05
96,-21,0,3,0,0.051,0,0.05
96,-22,0,1,0,0.017,0,0.05
96,-23,0,1,0,0.017,0,0.05
96,-24,0,2,0,0.034,0,0.05
96,-25,0,0,0,0,0,0.05
96,-26,0,0,0,0,0,0.05
96,-27,0,0,0,0,0,0.05
96,-28,0,1,0,0.017,0,0.05
96,-29,0.3333333333,3,1,0.051,0.017,0.07
96,-30,0,1,0,0.017,0,0.05
96,-31,0,1,0,0.017,0,0.05
96,-32,0,1,0,0.017,0,0.05
96,-33,0,0,0,0,0,0.05
96,-34,0,1,0,0.017,0,0.05
96,-35,0,0,0,0,0,0.05
96,-36,0,0,0,0,0,0.05
96,-37,0,0,0,0,0,0.05
96,-38,0,0,0,0,0,0.05
96,-39,0,0,0,0,0,0.05
96,-40,0,0,0,0,0,0.05
96,42,0,0,0,0,0,0.05
96,41,0,0,0,0,0,0.05
96,40,0,0,0,0,0,0.05
96,-40,0,0,0,0,0,0.05
96,-41,0,0,0,0,0,0.05
96,-42,0,0,0,0,0,0.05
95,40,0,0,0,0,0,0.05
95,39,0,0,0,0,0,0.05
95,38,0,0,0,0,0,0.05
95,37,0,0,0,0,0,0.05
95,36,0,0,0,0,0,0.05
95,35,0,0,0,0,0,0.05
95,34,0,2,0,0.034,0,0.05
95,33,1,1,1,0.017,0.017,0.07
